SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;ALDEx2;0;0.23575;0;200;3;61;Setting 4
MIDASim;ALDEx2;0.00366666666666667;0.0775656565656566;0.000044498341;50;5;61;Setting 5
MIDASim;ALDEx2;0.00485953240945501;0.413846153846154;0.000165487622078293;200;5;61;Setting 6
MIDASim;ALDEx2;0;0;0;50;1.5;123;Setting 7
MIDASim;ALDEx2;0;0.00346938775510204;0;200;1.5;123;Setting 8
MIDASim;ALDEx2;0;0.00547532656023222;0;50;3;123;Setting 9
MIDASim;ALDEx2;0.00392929292929293;0.18;0.0000740155204;200;3;123;Setting 10
MIDASim;ALDEx2;0.000909090909090909;0.102903911564626;0.00002392344498;50;5;123;Setting 11
MIDASim;ALDEx2;0.349040785461529;0.206964285714286;0.0114651424737455;200;5;123;Setting 12
MIDASim;camp;0.03;0.00027027027027027;0.000052;50;1.5;61;Setting 1
MIDASim;camp;0.02;0.000540540540540541;0.0000347;200;1.5;61;Setting 2
MIDASim;camp;0.0533333333333333;0.00692307692307692;0.000121739130434783;50;3;61;Setting 3
MIDASim;camp;0.0238579759164124;0.1555;0.000435540069686411;200;3;61;Setting 4
MIDASim;camp;0.0181114718614719;0.0568888888888889;0.000140597539543058;50;5;61;Setting 5
MIDASim;camp;0.0946549815589878;0.406666666666667;0.00330434782608696;200;5;61;Setting 6
MIDASim;camp;0;0;0;50;1.5;123;Setting 7
MIDASim;camp;0.01;0.00244897959183673;0.0000177;200;1.5;123;Setting 8
MIDASim;camp;0.08;0.00471698113207547;0.000196078431372549;50;3;123;Setting 9
MIDASim;camp;0.0241468253968254;0.109615384615385;0.000249110320284698;200;3;123;Setting 10
MIDASim;camp;0.0365203468664567;0.103877551020408;0.000654867256637168;50;5;123;Setting 11
MIDASim;camp;0.776139805546084;0.144285714285714;0.0515232974910394;200;5;123;Setting 12
MIDASim;Corncob;0.065;0.00135135135135135;0.000162573770506404;50;1.5;61;Setting 1
MIDASim;Corncob;0.2575;0.0072972972972973;0.000863443617619388;200;1.5;61;Setting 2
MIDASim;Corncob;0.0666666666666667;0.0241025641025641;0.000342877632857172;50;3;61;Setting 3
