SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;camp;0.0548408178773593;0.8828;0.034125;200;5;50;Setting 16
MIDASim;WilcoxCLR;0.0436428571428571;0.0925;0.00154545454545455;50;1.5;20;Setting 3
MIDASim;WilcoxTSS;0.022;0.0895;0.000855738946119324;50;1.5;20;Setting 3
MIDASim;WilcoxCLR;0.0751548821548822;0.1765;0.00563636363636364;200;1.5;20;Setting 4
MIDASim;WilcoxTSS;0.0458650793650794;0.2185;0.00337625979843225;200;1.5;20;Setting 4
MIDASim;WilcoxCLR;0.0696529026529027;0.276;0.00463636363636364;50;3;20;Setting 5
MIDASim;WilcoxTSS;0.0670339105339105;0.3035;0.00547768231934547;50;3;20;Setting 5
MIDASim;WilcoxCLR;0.238853326598931;0.785;0.0740909090909091;200;3;20;Setting 6
MIDASim;WilcoxTSS;0.0473189465875056;0.8095;0.00949722453009669;200;3;20;Setting 6
MIDASim;WilcoxCLR;0.10470309525045;0.64;0.0210909090909091;50;5;20;Setting 7
MIDASim;WilcoxTSS;0.0636769180252152;0.6695;0.010509815234573;50;5;20;Setting 7
MIDASim;WilcoxCLR;0.440364040759426;0.9155;0.177545454545455;200;5;20;Setting 8
MIDASim;WilcoxTSS;0.0523877652281542;0.924;0.0123717805151176;200;5;20;Setting 8
MIDASim;WilcoxCLR;0.0645591397849462;0.0848;0.00775;50;1.5;50;Setting 11
MIDASim;WilcoxTSS;0.0317849737981317;0.1042;0.00436279957226216;50;1.5;50;Setting 11
MIDASim;WilcoxCLR;0.125326897745918;0.216;0.03725;200;1.5;50;Setting 12
MIDASim;WilcoxTSS;0.0449402855480606;0.3866;0.0150144230769231;200;1.5;50;Setting 12
MIDASim;WilcoxCLR;0.166923411796798;0.2986;0.06225;50;3;50;Setting 13
MIDASim;WilcoxTSS;0.0342401356793495;0.4282;0.0125218563899817;50;3;50;Setting 13
MIDASim;WilcoxCLR;0.419020698901579;0.8248;0.414625;200;3;50;Setting 14
MIDASim;WilcoxTSS;0.0512502952724732;0.8648;0.0372956730769231;200;3;50;Setting 14
MIDASim;WilcoxCLR;0.360165297627181;0.5432;0.224;50;5;50;Setting 15
MIDASim;WilcoxTSS;0.0401594863460836;0.5954;0.0193349378143303;50;5;50;Setting 15
MIDASim;WilcoxCLR;0.608128711377233;0.8868;0.86075;200;5;50;Setting 16
MIDASim;WilcoxTSS;0.102922682537597;0.9342;0.08934375;200;5;50;Setting 16
MIDASim;MaAsLin2;0.024;0.084;0.000917107177249165;50;1.5;20;Setting 3
MIDASim;MaAsLin2;0.0332619047619048;0.1645;0.00228591149954186;200;1.5;20;Setting 4
MIDASim;MaAsLin2;0.0715487012987013;0.2725;0.00576496246964194;50;3;20;Setting 5
MIDASim;MaAsLin2;0.0389302436899186;0.728;0.00769899273407694;200;3;20;Setting 6
MIDASim;MaAsLin2;0.068318610654911;0.6425;0.0121350348154631;50;5;20;Setting 7
MIDASim;MaAsLin2;0.0445600508478823;0.919473684210526;0.0111037996127717;200;5;20;Setting 8
MIDASim;MaAsLin2;0.0363846872082166;0.0859265306122449;0.00478483630706861;50;1.5;50;Setting 11
MIDASim;MaAsLin2;0.0334265790769358;0.2502;0.00956766917293233;200;1.5;50;Setting 12
MIDASim;MaAsLin2;0.0297231873214631;0.388730952380952;0.0109127403147367;50;3;50;Setting 13
MIDASim;MaAsLin2;0.0401372296747753;0.835559183673469;0.0309401517382;200;3;50;Setting 14
MIDASim;MaAsLin2;0.0393630155934924;0.566159183673469;0.0201456937865625;50;5;50;Setting 15
MIDASim;MaAsLin2;0.0890429565328662;0.9406;0.0863338778711829;200;5;50;Setting 16
