SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;ADAPT;0.0456700937950938;0.820769230769231;0.0061515411780556;200;3;13;Setting 4
MIDASim;WilcoxCLR;0.0890169353004719;0.88;0.0133333333333333;200;3;13;Setting 4
MIDASim;WilcoxTSS;0.0748157638285347;0.865384615384615;0.010116501650165;200;3;13;Setting 4
MIDASim;ANCOMBC2;0.123871852820382;0.842307692307692;0.018500223091749;200;3;13;Setting 4
MIDASim;DESeq2;0.12743942366543;0.965384615384615;0.0201339933993399;200;3;13;Setting 4
MIDASim;ALDEx2;0.0357641108891109;0.860769230769231;0.00471558920597942;200;3;13;Setting 4
MIDASim;LinDA;0.0893566049963109;0.865384615384615;0.0108547008547009;200;3;13;Setting 4
MIDASim;ZicoSeq;0.0222107843137255;0.0761538461538462;0.0057979657432851;200;3;13;Setting 4
MIDASim;Corncob;0.137069608882689;0.962307692307692;0.0223025237817899;200;3;13;Setting 4
MIDASim;camp;0.0516957633010265;0.727692307692308;0.00538461538461539;200;3;13;Setting 4
MIDASim;ADAPT;0.0553875291375291;0.543846153846154;0.00579200471956858;50;5;13;Setting 5
MIDASim;WilcoxCLR;0.0602111940347234;0.583846153846154;0.00547008547008547;50;5;13;Setting 5
MIDASim;WilcoxTSS;0.0565744843391902;0.562307692307692;0.00647810386204398;50;5;13;Setting 5
MIDASim;ANCOMBC2;0.100769563769564;0.560769230769231;0.00965262126969349;50;5;13;Setting 5
MIDASim;DESeq2;0.111669743655038;0.790769230769231;0.0143938669762077;50;5;13;Setting 5
MIDASim;ALDEx2;0.0248243145743146;0.573846153846154;0.00239622023426832;50;5;13;Setting 5
MIDASim;LinDA;0.0832555193344667;0.58;0.00675213675213675;50;5;13;Setting 5
MIDASim;ZicoSeq;0.11150218;0.72923077;0.02129609;50;5;13;Setting 5
MIDASim;Corncob;0.128358419358419;0.710769230769231;0.0169515482102288;50;5;13;Setting 5
MIDASim;camp;0.0854021227310701;0.428461538461538;0.00683760683760684;50;5;13;Setting 5
MIDASim;ADAPT;0.0491001914751915;0.81;0.00678737113402062;200;5;13;Setting 6
MIDASim;WilcoxCLR;0.105447735786745;0.813846153846154;0.0217094017094017;200;5;13;Setting 6
MIDASim;WilcoxTSS;0.113105872991743;0.808461538461538;0.0154358377014172;200;5;13;Setting 6
MIDASim;ANCOMBC2;0.0872915417915418;0.945641025641026;0.0128218421647831;200;5;13;Setting 6
MIDASim;DESeq2;0.0964783574268868;0.886153846153846;0.0131654047757717;200;5;13;Setting 6
MIDASim;ALDEx2;0.0311107226107226;0.796153846153846;0.0035381479324403;200;5;13;Setting 6
MIDASim;LinDA;0.0939850125364831;0.830769230769231;0.0111965811965812;200;5;13;Setting 6
MIDASim;ZicoSeq;0.0627123052002001;0.0842948717948718;0.0475366800106948;200;5;13;Setting 6
MIDASim;Corncob;0.190194893458247;0.891538461538462;0.03262182100563;200;5;13;Setting 6
MIDASim;camp;0.0811911769860686;0.774615384615385;0.00931623931623932;200;5;13;Setting 6
MIDASim;ADAPT;0.0636666666666667;0.0157692307692308;0.00168005550680604;50;1.5;26;Setting 7
MIDASim;WilcoxCLR;0.0275;0.00961538461538462;0.000384615384615385;50;1.5;26;Setting 7
MIDASim;WilcoxTSS;0.002;0.01;0.000113636363636364;50;1.5;26;Setting 7
MIDASim;ANCOMBC2;0.373809523809524;0.0218769230769231;0.00913944627990264;50;1.5;26;Setting 7
MIDASim;DESeq2;0.14825;0.055;0.00459065739313854;50;1.5;26;Setting 7
